ADMIN,location_id,company,location_name_website,location_name,location_state_website,location_state,location_coordinates,location_address_website,location_address,location_phone_website,location_phone,location_email,location_times_website,location_times,location_url
,curaleaf_tampa_dale_mabry_midtown_fl,Curaleaf,,Tampa Dale Mabry Midtown,,Florida,"27.9498483, -82.5060285",,"612 North Dale Mabry Highway, Tampa, FL 33609",,8136782355,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-tampa-dale-mabry-midtown
,curaleaf_tampa_fl,Curaleaf,,Tampa,,Florida,"28.00565101, -82.45928148",,"6421 North Florida Avenue, Tampa, FL 33604",,8134972028,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-tampa
,curaleaf_titusville_fl,Curaleaf,,Titusville,,Florida,"28.61331193, -80.80797713",,"200 South Washington Avenue, Titusville, FL 32796",,3215671212,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday Closed",https://curaleaf.com/shop/florida/curaleaf-dispensary-titusville
,curaleaf_tampa_dale_mabry_fl,Curaleaf,,Tampa Dale Mabry,,Florida,"28.07148015, -82.50560796",,"13755 North Dale Mabry Highway, Tampa, FL 33618",,8138510105,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-tampa-dale-mabry
,curaleaf_bonita_springs_fl,Curaleaf,,Bonita Springs,,Florida,"26.33059185, -81.7593647",,"11721 Bonita Beach Road Southeast, Bonita Springs, FL 34135",,2392563671,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-bonita-springs
,curaleaf_west_palm_beach_fl,Curaleaf,,West Palm Beach,,Florida,"26.7086272, -80.14846286",,"6835 Okeechobee Boulevard, West Palm Beach, FL 33411",,5612344425,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-west-palm-beach
,curaleaf_tampa_citrus_park_fl,Curaleaf,,Tampa Citrus Park,,Florida,"28.0461574, -82.58337166",,"10612 Sheldon Road, Tampa, FL 33626",,8137710305,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/tampa-citrus-park
,curaleaf_tamarac_fl,Curaleaf,,Tamarac,,Florida,"26.20777429, -80.25299194",,"6899 North University Drive, Tamarac, FL 33321",,9545469905,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-tamarac
,curaleaf_tallahassee_fl,Curaleaf,,Tallahassee,,Florida,"30.4578437, -84.2767021",,"1345 Thomasville Road, Tallahassee, FL 32303",,8508484768,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-tallahassee
,curaleaf_stuart_fl,Curaleaf,,Stuart,,Florida,"27.18146184, -80.24107561",,"1910 Southeast Federal Highway, Stuart, FL 34994",,7722660395,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-stuart
,curaleaf_auburn_me,Curaleaf,,Auburn,,Maine,"44.12541335, -70.22737392",,"730 Center Street Ste 1C, Auburn, ME 04210",,2073125798,info.me@curaleaf.com,,"Monday 10am - 7pm, Tuesday 10am - 7pm, Wednesday 10am - 7pm, Thursday 10am - 7pm, Friday 10am - 7pm, Saturday 10am - 7pm, Sunday 10am - 5pm",https://curaleaf.com/shop/maine/curaleaf-me-auburn
,curaleaf_panama_city_fl,Curaleaf,,Panama City,,Florida,"30.18909885, -85.67202214",,"749 West 23rd Street, Panama City, FL 32405",,8507400680,info.fl@curaleaf.com,,"Monday 9am - 8:30pm, Tuesday 9am - 8:30pm, Wednesday 9am - 8:30pm, Thursday 9am - 8:30pm, Friday 9am - 8:30pm, Saturday 9am - 8:30pm, Sunday 10am - 7pm",https://curaleaf.com/shop/florida/curaleaf-dispensary-panama-city
