location_id,company,location_name,location_state,location_coordinates,location_address,location_phone,location_email,location_times,location_url
muv_apollo_beach,MÜV,Apollo Beach,Florida,"27.76383, -82.395259","5999 N. US Highway 41, Apollo Beach, FL 33572",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/apollo-beach
muv_bonita_springs,MÜV,Bonita Springs,Florida,"26.325701, -81.80497","28245 S Tamiami Trail #120, Bonita Springs, FL, 34134",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/bonita-springs
muv_boynton_beach,MÜV,Boynton Beach,Florida,"26.514852, -80.062417","137 E Woolbright Rd, Boynton Beach, FL 33435",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/boynton-beach
muv_bradenton_75th_west,MÜV,Bradenton-75th West,Florida,"27.463132, -82.637398","4312 75th St. West, Bradenton, FL 34209",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/bradenton-75th-west
muv_bradenton_heritage_green,MÜV,Bradenton-Heritage Green,Florida,"27.488198, -82.456673","8465 Heritage Green Way, Bradenton, FL 34211",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/bradenton
muv_brandon,MÜV,Brandon,Florida,"27.923787, -82.298972","942 West Lumsden Rd., Brandon, FL 33511",8338805421,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/brandon
muv_cape_coral,MÜV,Cape Coral,Florida,"26.601162, -81.97435","2616 Santa Barbara Blvd. Ste 6, Cape Coral, FL 33914",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://muvfl.com/locations/cape-coral
muv_clearwater_19_north,MÜV,Clearwater-19 North,Florida,"28.04423, -82.737797","29901 US Hwy 19 N, Clearwater, FL 33761",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/clearwater
muv_clearwater_roosevelt,MÜV,Clearwater-Roosevelt,Florida,"27.916727, -82.710094","5555 Roosevelt Blvd. Clearwater, FL 33760",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/clearwater-roosevelt
muv_deerfield_beach,MÜV,Deerfield Beach,Florida,"26.305506, -80.092932","953 South Federal Hwy, Deerfield Beach, FL 33441",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/deerfield
muv_fort_myers,MÜV,Fort Myers,Florida,"26.614307, -81.77319","10993 Colonial Blvd, Ste 101, Fort Myers. FL 33913",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/ft-myers
muv_fort_myers_cypress,MÜV,Fort Myers-Cypress,Florida,"26.542491, -81.871957","7010 Cypress Terrace, Fort Myers, FL, USA",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/fort-myers-cypress
muv_gainesville,MÜV,Gainesville,Florida,"29.633247, -82.37385","2020 Southwest 34th Street, Gainesville, FL 32608",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/gainesville
muv_hobe_sound,MÜV,Hobe Sound,Florida,"27.077147, -80.143638","10455 SE Federal Highway, Hobe Sound, FL 33455",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/hobe-sound
muv_jacksonville,MÜV,Jacksonville,Florida,"30.309309, -81.654729","1550 Hendricks, Ste 4, Jacksonville, FL 32207",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/jacksonville
muv_jacksonville_beach,MÜV,Jacksonville Beach,Florida,"30.288092, -81.403254","1198 Beach Blvd. Suite 5, Jacksonville Beach, FL 32250",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/jax-beach
muv_key_west,MÜV,Key West,Florida,"24.555463, -81.802233","519 Duval, Key West, FL 33040",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/key-west
muv_lady_lake,MÜV,Lady Lake,Florida,"28.896107, -81.909355","929 US-441 Highway Suite 202, Lady Lake, FL 32159",8338805420,support@muvbrand.com,"Monday 9am - 7pm, Tuesday 9am - 7pm, Wednesday 9am - 7pm, Thursday 9am - 7pm, Friday 9am - 7pm, Saturday 9am - 7pm, Sunday 11am - 5pm",https://www.muvfl.com/locations/lady-lake
