location_id,company,location_name_website,location_name,location_state_website,location_state,location_coordinates,location_address_website,location_address,location_phone_website,location_phone,location_email,location_times_website,location_times,location_url
trulieve_brooksville_fl,Trulieve,"Brooksville, FL",Brooksville,florida,Florida,"28.53388, -82.495213","14099 Cortez Blvd
Brooksville, FL 34613","14099 Cortez Blvd, Brooksville, FL 34613",352-631-6575,3526316575,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/brooksville-fl
trulieve_bartow_fl,Trulieve,"Bartow, FL",Bartow,florida,Florida,"27.905944, -81.845138","1030 N Broadway Ave
Bartow, FL 33830","1030 N Broadway Ave, Bartow, FL 33830",863-208-6344,8632086344,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/bartow-fl
trulieve_cape_coral_fl,Trulieve,"Cape Coral, FL",Cape Coral,florida,Florida,"26.605644, -81.973417","2517 Santa Barbara Blvd
Cape Coral, FL 33914","2517 Santa Barbara Blvd, Cape Coral, FL 33914",239-268-9160,2392689160,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/cape-coral-fl
trulieve_clearwater_beach_fl,Trulieve,"Clearwater Beach, FL",Clearwater Beach,florida,Florida,"27.967325, -82.825478","645 Bayway Blvd
Clearwater Beach, FL 33767","645 Bayway Blvd, Clearwater Beach, FL 33767",727-254-5636,7272545636,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/clearwater-beach-fl
trulieve_boca_raton_fl,Trulieve,"Boca Raton, FL",Boca Raton,florida,Florida,"26.330181, -80.2058","23233 FL-7
Boca Raton, FL 33428","23233 FL-7, Boca Raton, FL 33428",561-556-8611,5615568611,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/boca-raton-fl
trulieve_clearwater_fl,Trulieve,"Clearwater, FL",Clearwater,florida,Florida,"27.996254, -82.728669","24639 US HWY 19 N
Clearwater, FL 33763","24639 US HWY 19 N, Clearwater, FL 33763",727-288-2540,7272882540,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/clearwater-fl
trulieve_boynton_beach_winchester_fl,Trulieve,"Boynton Beach Winchester, FL",Boynton Beach Winchester,florida,Florida,"26.528767, -80.095248","330 Winchester Park Blvd
Boynton Beach, FL 33436","330 Winchester Park Blvd, Boynton Beach, FL 33436",561-678-5902,5616785902,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/boynton-beach-winchester-fl
trulieve_boynton_beach_fl,Trulieve,"Boynton Beach, FL",Boynton Beach,florida,Florida,"26.517349, -80.076859","1534 SW 8th Street
Boynton Beach, FL 33426","1534 SW 8th Street, Boynton Beach, FL 33426",561-425-8065,5614258065,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/boynton-beach-fl
trulieve_apopka_fl,Trulieve,"Apopka, FL",Apopka,florida,Florida,"28.690042, -81.544173","2121 W Orange Blossom Trail
Apopka, FL 32712","2121 W Orange Blossom Trail, Apopka, FL 32712",321-455-5211,3214555211,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/apopka-fl
trulieve_bonita_springs_fl,Trulieve,"Bonita Springs, FL",Bonita Springs,florida,Florida,"26.330362, -81.78118","10347 Bonita Beach Road SE
Bonita Springs, FL 34135","10347 Bonita Beach Road SE, Bonita Springs, FL 34135",239-317-6906,2393176906,info@trulieve.com,"
                    
                                    Monday
                    9:00 am - 9:00 pm
                            
                    
                                    Tuesday
                    9:00 am - 9:00 pm
                            
                    
                                    Wednesday
                    9:00 am - 9:00 pm
                            
                    
                                    Thursday
                    9:00 am - 9:00 pm
                            
                    
                                    Friday
                    9:00 am - 9:00 pm
                            
                    
                                    Saturday
                    9:00 am - 9:00 pm
                            
                    
                                    Sunday
                    10:00 am - 8:00 pm
                            
            ","Monday 9am - 9pm, Tuesday 9am - 9pm, Wednesday 9am - 9pm, Thursday 9am - 9pm, Friday 9am - 9pm, Saturday 9am - 9pm, Sunday 10am - 8pm",https://www.trulieve.com/dispensaries/bonita-springs-fl
